Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result
10/11/12,2012,Levadeiakos,Aris,1.8,3.5,4.5,2.0,1.0,H
10/11/12,2012,OFI,Veria,2.05,3.1,4.0,2.0,0.0,H
11/11/12,2012,AEK,Olympiakos,7.5,4.5,1.4,0.0,4.0,A
11/11/12,2012,Atromitos,Panionios,1.83,3.2,4.75,1.0,0.0,H
11/11/12,2012,Panthrakikos,Asteras Tripolis,3.4,3.0,2.3,1.0,0.0,H
11/11/12,2012,PAOK,Platanias,1.44,4.0,8.0,2.0,0.0,H
12/11/12,2012,Kerkyra,Panathinaikos,5.0,3.6,1.7,0.0,0.0,D
17/11/12,2012,Aris,Giannina,2.2,3.0,3.6,1.0,2.0,A
17/11/12,2012,Olympiakos,Kerkyra,1.11,8.0,19.0,2.0,0.0,H
17/11/12,2012,Panionios,Platanias,2.0,3.2,4.0,4.0,0.0,H
18/11/12,2012,OFI,Levadeiakos,2.2,3.0,3.6,0.0,2.0,A
18/11/12,2012,Panathinaikos,PAOK,2.38,3.0,3.2,2.0,0.0,H
18/11/12,2012,Veria,AEK,2.5,3.0,3.0,0.0,4.0,A
18/11/12,2012,Xanthi,Panthrakikos,2.0,3.1,4.2,0.0,0.0,D
19/11/12,2012,Asteras Tripolis,Atromitos,2.1,3.1,3.75,3.0,0.0,H
24/11/12,2012,AEK,Levadeiakos,2.05,3.1,4.0,0.0,1.0,A
24/11/12,2012,Atromitos,Xanthi,1.67,3.3,6.0,1.0,0.0,H
24/11/12,2012,Giannina,OFI,2.1,3.1,3.75,1.0,0.0,H
25/11/12,2012,Asteras Tripolis,Panionios,1.8,3.25,5.0,2.0,1.0,H
25/11/12,2012,Kerkyra,Veria,2.38,2.9,3.4,1.0,1.0,D
25/11/12,2012,PAOK,Olympiakos,3.4,3.2,2.2,1.0,1.0,D
25/11/12,2012,Platanias,Panathinaikos,4.33,3.1,1.95,2.0,1.0,H
26/11/12,2012,Panthrakikos,Aris,2.5,2.9,3.1,4.0,0.0,H
01/12/12,2012,Aris,Atromitos,3.3,3.1,2.3,1.0,1.0,D
01/12/12,2012,Olympiakos,Platanias,1.14,8.0,15.0,2.0,1.0,H
01/12/12,2012,Xanthi,Asteras Tripolis,2.9,3.1,2.5,1.0,1.0,D
02/12/12,2012,Levadeiakos,Kerkyra,1.73,3.3,5.5,2.0,0.0,H
02/12/12,2012,OFI,Panthrakikos,2.1,3.1,3.75,1.0,1.0,D
02/12/12,2012,Panionios,Panathinaikos,3.75,3.1,2.1,1.0,2.0,A
02/12/12,2012,Veria,PAOK,4.5,3.3,1.85,0.0,0.0,D
03/12/12,2012,AEK,Giannina,2.05,3.25,3.75,2.0,1.0,H
08/12/12,2012,Atromitos,OFI,1.57,3.5,7.0,3.0,2.0,H
08/12/12,2012,Kerkyra,Giannina,2.7,2.88,2.88,0.0,2.0,A
08/12/12,2012,PAOK,Levadeiakos,1.67,3.4,6.0,1.0,0.0,H
09/12/12,2012,Asteras Tripolis,Aris,1.57,3.5,7.0,1.0,1.0,D
09/12/12,2012,Panathinaikos,Olympiakos,3.6,3.1,2.15,2.0,2.0,D
09/12/12,2012,Platanias,Veria,2.4,3.0,3.2,0.0,0.0,D
09/12/12,2012,Xanthi,Panionios,2.3,3.0,3.4,4.0,0.0,H
10/12/12,2012,Panthrakikos,AEK,2.63,3.0,2.88,1.0,0.0,H
15/12/12,2012,Kerkyra,Panthrakikos,2.4,3.0,3.2,0.0,2.0,A
15/12/12,2012,OFI,Asteras Tripolis,3.4,3.0,2.3,2.0,0.0,H
15/12/12,2012,Panionios,Olympiakos,8.0,4.75,1.36,1.0,2.0,A
16/12/12,2012,AEK,Atromitos,3.25,2.9,2.4,1.0,1.0,D
16/12/12,2012,Aris,Xanthi,2.3,3.0,3.4,0.0,0.0,D
16/12/12,2012,Levadeiakos,Platanias,1.83,3.1,5.0,1.0,0.0,H
16/12/12,2012,Veria,Panathinaikos,5.5,3.25,1.73,3.0,0.0,H
17/12/12,2012,Giannina,PAOK,3.5,3.1,2.2,1.0,3.0,A
05/01/13,2012,Asteras Tripolis,AEK,1.67,3.4,6.0,3.0,1.0,H
05/01/13,2012,Panathinaikos,Levadeiakos,1.65,3.5,6.0,1.0,2.0,A
05/01/13,2012,Platanias,Giannina,2.5,3.0,3.0,1.0,1.0,D
06/01/13,2012,Aris,Panionios,2.2,3.1,3.5,2.0,1.0,H
06/01/13,2012,Atromitos,Kerkyra,1.53,3.75,7.0,2.0,0.0,H
06/01/13,2012,Olympiakos,Veria,1.17,7.0,15.0,3.0,0.0,H
06/01/13,2012,Panthrakikos,PAOK,4.0,3.2,2.0,1.0,4.0,A
07/01/13,2012,Xanthi,OFI,1.91,3.1,4.5,3.0,0.0,H
12/01/13,2012,AEK,Xanthi,2.0,3.2,4.0,1.0,0.0,H
12/01/13,2012,Levadeiakos,Olympiakos,6.0,4.0,1.53,0.0,1.0,A
12/01/13,2012,Panthrakikos,Platanias,2.0,3.1,4.2,1.0,1.0,D
13/01/13,2012,Giannina,Panathinaikos,3.25,3.1,2.3,0.0,0.0,D
13/01/13,2012,OFI,Aris,2.3,3.1,3.25,2.0,0.0,H
13/01/13,2012,Panionios,Veria,1.91,3.25,4.2,1.0,1.0,D
13/01/13,2012,PAOK,Atromitos,1.73,3.5,5.0,0.0,0.0,D
14/01/13,2012,Kerkyra,Asteras Tripolis,3.4,3.0,2.3,0.0,1.0,A
19/01/13,2012,Asteras Tripolis,PAOK,2.8,2.9,2.75,1.0,0.0,H
19/01/13,2012,OFI,Panionios,2.2,2.9,3.75,2.0,1.0,H
19/01/13,2012,Panathinaikos,Panthrakikos,1.7,3.4,5.5,1.0,1.0,D
20/01/13,2012,Aris,AEK,2.25,3.1,3.4,1.0,1.0,D
20/01/13,2012,Atromitos,Platanias,1.55,3.6,7.0,1.0,0.0,H
20/01/13,2012,Olympiakos,Giannina,1.2,6.5,13.0,2.0,0.0,H
20/01/13,2012,Xanthi,Kerkyra,1.57,3.6,6.5,0.0,0.0,D
21/01/13,2012,Veria,Levadeiakos,,,,1.0,2.0,A
26/01/13,2012,AEK,OFI,1.91,3.1,4.5,2.0,1.0,H
26/01/13,2012,Panionios,Levadeiakos,2.8,2.88,2.75,2.0,1.0,H
27/01/13,2012,Atromitos,Panathinaikos,2.3,2.9,3.5,1.0,2.0,A
27/01/13,2012,Giannina,Veria,2.1,3.0,3.8,2.0,0.0,H
27/01/13,2012,Panthrakikos,Olympiakos,9.0,4.2,1.4,0.0,1.0,A
27/01/13,2012,PAOK,Xanthi,1.5,3.75,7.5,0.0,1.0,A
27/01/13,2012,Platanias,Asteras Tripolis,2.8,3.0,2.63,0.0,3.0,A
28/01/13,2012,Kerkyra,Aris,2.88,3.0,2.63,2.0,2.0,D
02/02/13,2012,AEK,Panionios,1.8,3.25,5.0,1.0,0.0,H
02/02/13,2012,Asteras Tripolis,Panathinaikos,2.4,3.0,3.2,2.0,2.0,D
02/02/13,2012,Xanthi,Platanias,1.91,3.2,4.33,2.0,0.0,H
03/02/13,2012,Aris,PAOK,3.4,3.0,2.3,2.0,2.0,D
03/02/13,2012,OFI,Kerkyra,1.8,3.25,5.0,2.0,0.0,H
03/02/13,2012,Olympiakos,Atromitos,1.22,5.0,13.0,2.0,3.0,A
03/02/13,2012,Veria,Panthrakikos,2.38,3.0,3.2,2.0,0.0,H
04/02/13,2012,Levadeiakos,Giannina,2.1,3.0,4.0,1.0,1.0,D
